"url","hammer_price","sold","auction_date","title","distillery","region","strength","distillery_status","cask_type","currency","bulk_litres","rla","filling_date","cask_filling","previous_spirit","regauged_date","age","bottles_at_cask_strength","hammer_price_per_bottle_at_cask_strength","hammer_price_per_litre_of_alcohol","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol","country","auction_house"
"https://whiskyauctioneer.com/lot/241194/1-bruichladdich-2006-fresh-bourbon-barrel-1246-cask-storage-bruichladdich",11000,FALSE,"2020-01-06","Bruichladdich 2006 Fresh Bourbon Barrel","Bruichladdich","Islay","63.1","Operational","Barrel","Great Britain Pound (£)","161","101.59","2006-07-12","First Fill","Bourbon","2019-11-01",13,230,"47.83","108.28","12375","53.8","121.81","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/229661/1-bruichladdich-2005-fresh-bourbon-barrel-417-cask-storage-bruichladdich",12000,TRUE,"2019-12-02","Bruichladdich 2005 Fresh Bourbon Barrel","Bruichladdich","Islay","61.2","Operational","Barrel","Great Britain Pound (£)","155","94.86","2005-06-08","First Fill","Bourbon","2019-11-01",14,221.43,"54.19","126.5","13500","60.97","142.31","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/233038/1-bruichladdich-2003-fresh-bourbon-barrel-252-cask-storage-whiskybroker",10000,FALSE,"2019-12-02","Bruichladdich 2003 Fresh Bourbon Barrel","Bruichladdich","Islay","58.1","Operational","Barrel","Great Britain Pound (£)","121.81","70.77","2003-05-30","First Fill","Bourbon","2019-06-14",16,174.01,"57.47","141.3","11250","64.65","158.97","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/203503/1-longmorn-2008-refill-barrel-1225-cask-storage-whiskybroker",6000,TRUE,"2019-09-02","Longmorn 2008 Refill Barrel","Longmorn","Speyside","58.2","Operational","Barrel","Great Britain Pound (£)","182.5","106.22","2008-10-30","Second Fill",NA,"2019-07-22",10,260.71,"23.01","56.49","6750","25.89","63.55","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/203603/1-ben-nevis-1996-hogshead-878-cask-storage-ben-nevis-distillery-sample-tbc",10000,FALSE,"2019-09-02","Ben Nevis 1996 Hogshead","Ben Nevis","Highlands","49.5","Operational","Hogshead","Great Britain Pound (£)","169.29","83.8","1996-07-09",NA,NA,"2019-06-01",23,241.84,"41.35","119.33","11250","46.52","134.25","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/205401/1-bruichladdich-2011-fresh-bourbon-barrel-3241-cask-storage-bruichladdich",10005,TRUE,"2019-09-02","Bruichladdich 201Fresh Bourbon Barrel","Bruichladdich","Islay","63.6","Operational","Barrel","Great Britain Pound (£)","169","107.48","2011-09-21","First Fill","Bourbon","2019-07-22",7,241.43,"41.44","93.09","11255.62","46.62","104.72","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/190317/1-caroni-1997-barrel-60-cask-storage-whiskybroker",29000,TRUE,"2019-07-01","Caroni 1997 Barrel","Caroni","Trinidad","64.5","Closed","Barrel","Great Britain Pound (£)","162.3","104.68","1997-01-01",NA,"Rum","2019-05-13",22,231.86,"125.08","277.03","32625","140.71","311.66","Trinidad","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/183740/1-caroni-1997-barrel-82-cask-storage-whiskybroker",25000,TRUE,"2019-05-20","Caroni 1997 Barrel","Caroni","Trinidad","61.7","Closed","Barrel","Great Britain Pound (£)","158","97.49","1997-01-01",NA,"Rum","2019-04-11",22,225.71,"110.76","256.44","28125","124.61","288.49","Trinidad","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/183741/1-caroni-1997-barrel-84-cask-storage-whiskybroker",25000,TRUE,"2019-05-20","Caroni 1997 Barrel","Caroni","Trinidad","62.1","Closed","Barrel","Great Britain Pound (£)","168.6","104.7","1997-01-01",NA,"Rum","2019-04-11",22,240.86,"103.79","238.78","28125","116.77","268.62","Trinidad","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/182617/1-tullibardine-2007-first-fill-bourbon-barrel-173-cask-storage-tullibardine-distillery",4000,TRUE,"2019-05-06","Tullibardine 2007 First-Fill Bourbon Barrel","Tullibardine","Highlands","58.5","Operational","Barrel","Great Britain Pound (£)","152.7","90.5","2007-12-01","First Fill","Bourbon","2019-01-01",11,218.14,"18.34","44.2","4500","20.63","49.72","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/176855/1-tullibardine-2007-first-fill-bourbon-barrel-173-cask-storage-tullibardine-distillery",3600,FALSE,"2019-04-08","Tullibardine 2007 First-Fill Bourbon Barrel","Tullibardine","Highlands","58.5","Operational","Barrel","Great Britain Pound (£)","152.7","90.5","2007-12-01","First Fill","Bourbon","2019-01-01",11,218.14,"16.5","39.78","4050","18.57","44.75","Scotland","WhiskyAuctioneer"
